,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:3,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,46.7,KBytes,382,Kbits/sec
reno/reno:3,9,9.0-10.0 sec,46.7,KBytes,382,Kbits/sec,46.7,KBytes,382,Kbits/sec
reno/reno:3,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,11,11.0-12.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,46.7,KBytes,382,Kbits/sec
reno/reno:3,13,13.0-14.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,14,14.0-15.0 sec,0.00,Bytes,0.00,bits/sec,46.7,KBytes,382,Kbits/sec
reno/reno:3,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,46.7,KBytes,382,Kbits/sec
reno/reno:3,17,17.0-18.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:3,19,19.0-20.0 sec,46.7,KBytes,382,Kbits/sec,46.7,KBytes,382,Kbits/sec
reno/reno:3,20,0.0-20.5 sec,478,KBytes,191,Kbits/sec,540,KBytes,216,Kbits/sec
reno/reno:4,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/reno:4,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:4,2,2.0- 3.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,3,3.0- 4.0 sec,56.6,KBytes,463,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:4,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:4,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,31.1,KBytes,255,Kbits/sec
