,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/westwood:0,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,7,7.0- 8.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,9,9.0-10.0 sec,156,KBytes,1.27,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,14,14.0-15.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,16,16.0-17.0 sec,195,KBytes,1.60,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,17,17.0-18.0 sec,74.9,KBytes,614,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:0,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/westwood:1,1,1.0- 2.0 sec,187,KBytes,1.53,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,2,2.0- 3.0 sec,0.00,Bytes,0.00,bits/sec,140,KBytes,1.15,Mbits/sec
reno/westwood:1,3,3.0- 4.0 sec,139,KBytes,1.14,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,4,4.0- 5.0 sec,7.07,KBytes,57.9,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,130,KBytes,1.07,Mbits/sec
reno/westwood:1,6,6.0- 7.0 sec,255,KBytes,2.09,Mbits/sec,260,KBytes,2.13,Mbits/sec
reno/westwood:1,7,7.0- 8.0 sec,191,KBytes,1.56,Mbits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:1,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,10,10.0-11.0 sec,509,KBytes,4.17,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/westwood:1,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/westwood:1,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:1,14,14.0-15.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/westwood:1,15,15.0-16.0 sec,127,KBytes,1.04,Mbits/sec,255,KBytes,2.09,Mbits/sec
reno/westwood:1,16,16.0-17.0 sec,191,KBytes,1.56,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,17,17.0-18.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,18,18.0-19.0 sec,127,KBytes,1.04,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:1,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/westwood:2,1,1.0- 2.0 sec,62.2,KBytes,510,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,2,2.0- 3.0 sec,133,KBytes,1.09,Mbits/sec,133,KBytes,1.09,Mbits/sec
reno/westwood:2,3,3.0- 4.0 sec,14.1,KBytes,116,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/westwood:2,4,4.0- 5.0 sec,15.6,KBytes,127,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,188,KBytes,1.54,Mbits/sec
reno/westwood:2,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,69.3,KBytes,568,Kbits/sec
reno/westwood:2,7,7.0- 8.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/westwood:2,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
